Text,Date,label
"At its 46th AGM on August 28, Reliance announced that Akash, Isha and Anant Ambani were being appointed to the conglomerate's board of directors.",26-09-2023,Neutral
"The American multinational company, which has operated in India for eight decades, counts top conglomerates such as Reliance and Adani groups among its clients",04-10-2023,Neutral
"Abu Dhabi Investment Authority is investing $597 million in Reliance Retail, valuing the largest Indian retail chain at a whopping $100 billion. The Abu Dhabi Investment Authority is investing $597 million in Reliance Retail, valuing the largest Indian retail chain at a whopping $100 billion.",06-10-2023,Neutral
"The heavyweights continued to step up in mid-week trading as well, with Reliance Industries and HDFC Bank contributing to nearly half of the Nifty 50's gains.",11-10-2023,Positive
The board of Reliance Industries will meet on October 27 to approve the financial results for the second quarter of the current financial year before declaring its quarterly earnings.,20-10-2023,Neutral
RIL Q2 update: Reliance Industries Limited will announce its Q2 result on October 27. The Mukesh Ambani-owned conglomerate will announce the result after the conclusion of its board of directors meeting to be held on the same day,20-10-2023,Neutral
"In the ranking of top 10 firms, Reliance Industries retained the title of the most valued firm followed by TCS, HDFC Bank, ICICI Bank, Infosys, Hindustan Unilever, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",22-10-2023,Neutral
"Reliance Jio SpaceFiber is now available across four of the remotest locations in India– Gir Gujarat, Korba Chattisgarh, Nabrangpur Odissa and ONGC-Jorhat Assam.",27-10-2023,Neutral
"In August, Akash Ambani, Isha Ambani and Anant Ambani were appointed to the Reliance board.",29-10-2023,Neutral
"Arvind Fashions will sell the entire equity stake in Arvind Beauty Brands, which runs its Sephora India business, to Reliance Retail Ventures' subsidiary for a purchase consideration of Rs 99.02 crore.",03-11-2023,Neutral
"JioMotive, a plug-and-play 4G GPS tracker for cars, has been launched by Reliance Jio. The car tracker is very easy to use as it connects to the vehicle’s OBD (On-Board Diagnostics) port to perform its functions. It can help trace a lot of important important including the real-time location of a vehicle, driving behaviour as well as other insights.",06-11-2023,Positive
"Mukesh Ambani’s Reliance Industries Ltd. is seeking to raise as much as 200 billion rupees ($2.4 billion) via rupee-denominated bonds, according to filings seen by Bloomberg.",07-11-2023,Neutral
"Nita Ambani, Founder and Chairperson of Reliance Foundation, marked a significant advancement in Indian arts and crafts as she inaugurated Reliance Retail's inaugural Swadesh store in Telangana",08-11-2023,Positive
"In the ranking of top-10 firms, Reliance Industries retains the most valued title followed by TCS, HDFC Bank, ICICI Bank, Hindustan Unilever, Infosys, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",12-11-2023,Neutral
"Reliance Industries Limited emerged as the largest wealth creator for the stock market investors in last five years, according to Motilal Oswal's ‘Annual Wealth Creation Study 2023’. Whereas, Adani Enterprises was the all-rounder stock in last five years",14-12-2023,Positive
"China has been seeking to reduce reliance on foreign technologies, and has been asking state-affiliated firms like banks to switch to local software.",16-12-2023,Neutral
"In a speech at the Reliance Family Day celebration on Thursday, the RIL chairman and managing director said that as India races ahead to become the world's third-largest economy, an unprecedented opportunity awaits the company",28-12-2023,Negative
