headline,date,link,compound_score,sentiment
Indian Indices Extend Winning Streak on Wednesday on Steady Q4 Earnings,2025-04-23 04:19:15,/quote/index/NIFTY-500-9743679/news/Indian-Indices-Extend-Winning-Streak-on-Wednesday-on-Steady-Q4-Earnings-49687802/,0.6249,Positive
Indian Indices Extend Gains on Tuesday as RBI's Liquidity Easing Boosts Banks,2025-04-22 04:24:17,/quote/index/NIFTY-500-9743679/news/Indian-Indices-Extend-Gains-on-Tuesday-as-RBI-s-Liquidity-Easing-Boosts-Banks-49674738/,0.7506,Positive
"INDIA STOCKS-Indian benchmarks log highest closing levels in nearly four months, financials lead charge",2025-04-22 04:11:02,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-log-highest-closing-levels-in-nearly-four-months-financials-lead-cha-49674543/,0.0,Neutral
"Indian benchmarks log highest closing levels in nearly four months, financials lead charge",2025-04-22 04:11:02,/quote/index/NIFTY-50-9743680/news/Indian-benchmarks-log-highest-closing-levels-in-nearly-four-months-financials-lead-charge-49669864/,0.0,Neutral
"HDFC Bank Limited Approves the Elevation of Prasun Singh as Group Head ? Ethics Function, with Effect from June 01, 2025",2025-04-22 03:38:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Approves-the-Elevation-of-Prasun-Singh-as-Group-Head-Ethics-Function-with-Effec-49675548/,0.2023,Positive
"HDFC Bank Limited Announces the Annual Renewal of Issuance of Perpetual Debt Instruments (Part of Additional Tier I Capital), Tier Ii Capital Bonds and Long-Term Bonds",2025-04-22 03:36:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Announces-the-Annual-Renewal-of-Issuance-of-Perpetual-Debt-Instruments-Part-of-Ad-49675552/,-0.5267,Negative
"Nomura Adjusts HDFC Bank's Price Target to INR2,140 From INR1,920, Keeps at Buy",2025-04-22 12:47:18,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Nomura-Adjusts-HDFC-Bank-s-Price-Target-to-INR2-140-From-INR1-920-Keeps-at-Buy-49672448/,0.0,Neutral
INDIA STOCKS-Indian benchmarks eke out gains as financials rise on liquidity boost,2025-04-22 10:45:10,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-eke-out-gains-as-financials-rise-on-liquidity-boost-49670493/,0.6249,Positive
INDIA STOCKS-Indian benchmarks may open flat; banks in focus after RBI's liquidity boost,2025-04-22 08:12:45,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-may-open-flat-banks-in-focus-after-RBI-s-liquidity-boost-49669863/,0.4019,Positive
Asian Equities Traded in the US as American Depositary Receipts Open Week Lower,2025-04-21 08:14:07,/quote/stock/UXIN-LIMITED-44403618/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Open-Week-Lower-49666886/,-0.296,Negative
"India's HDFC Bank, ICICI Bank close higher as quarterly earnings boost investor confidence",2025-04-21 04:50:35,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-ICICI-Bank-close-higher-as-quarterly-earnings-boost-investor-confidence-49663673/,0.7184,Positive
Indian benchmarks log biggest five-day gains in four years as financials rally,2025-04-21 04:05:40,/quote/index/NIFTY-50-9743680/news/Indian-benchmarks-log-biggest-five-day-gains-in-four-years-as-financials-rally-49663573/,0.34,Positive
INDIA STOCKS-Indian benchmarks log biggest five-day gains in four years as financials rally,2025-04-21 04:04:51,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-log-biggest-five-day-gains-in-four-years-as-financials-rally-49664984/,0.34,Positive
"Jefferies Adjusts HDFC Bank's Price Target to INR2,340 From INR2,120, Keeps at Buy",2025-04-21 02:30:20,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Jefferies-Adjusts-HDFC-Bank-s-Price-Target-to-INR2-340-From-INR2-120-Keeps-at-Buy-49664441/,0.0,Neutral
Emerging Asian currencies strengthen as Trump questions Fed,2025-04-21 01:58:33,/quote/stock/ICICI-BANK-LIMITED-23672738/news/Emerging-Asian-currencies-strengthen-as-Trump-questions-Fed-49664355/,0.3182,Positive
HDFC Bank's Consolidated Net Profit Rises in Fiscal Q4,2025-04-21 11:23:07,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-s-Consolidated-Net-Profit-Rises-in-Fiscal-Q4-49663881/,0.4404,Positive
"INDIA STOCKS-Financials prop up Indian shares amid strong earnings, weak dollar",2025-04-21 10:54:12,/quote/stock/INFOSYS-LIMITED-9743342/news/INDIA-STOCKS-Financials-prop-up-Indian-shares-amid-strong-earnings-weak-dollar-49663820/,0.3818,Positive
Litigation Update | Exclusive Jurisdiction Clauses In Private Employment Contracts Upheld By Supreme Court,2025-04-21 10:44:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Litigation-Update-Exclusive-Jurisdiction-Clauses-In-Private-Employment-Contracts-Upheld-By-Supreme-49731285/,0.5106,Positive
"India's HDFC Bank, ICICI Bank close higher as quarterly earnings boost investor confidence",2025-04-21 10:31:22,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-ICICI-Bank-close-higher-as-quarterly-earnings-boost-investor-confidence-49663773/,0.7184,Positive
"India stocks, rupee, swaps, call at 10:05 a.m. IST",2025-04-21 10:09:30,/quote/index/SENSEX-BSE30-7426/news/India-stocks-rupee-swaps-call-at-10-05-a-m-IST-49663746/,0.0,Neutral
"India's ICICI Bank, HDFC Bank climb on upbeat quarterly results",2025-04-21 09:23:11,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-ICICI-Bank-HDFC-Bank-climb-on-upbeat-quarterly-results-49663669/,0.0,Neutral
"INDIA STOCKS-ICICI Bank, HDFC Bank lift Indian benchmarks at open after strong earnings",2025-04-21 09:19:47,/quote/stock/ICICI-BANK-LIMITED-23672738/news/INDIA-STOCKS-ICICI-Bank-HDFC-Bank-lift-Indian-benchmarks-at-open-after-strong-earnings-49663667/,0.5106,Positive
"HDFC Bank Limited Reports Earnings Results for the Fourth Quarter and Full Year Ended March 31, 2025",2025-04-19 08:29:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Reports-Earnings-Results-for-the-Fourth-Quarter-and-Full-Year-Ended-March-31-2025-49662403/,-0.2263,Negative
"India's HDFC Bank sees loan-to-deposit ratio at 85%-90% by FY27, CFO says",2025-04-19 06:41:50,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-sees-loan-to-deposit-ratio-at-85-90-by-FY27-CFO-says-49662339/,0.0,Neutral
"India's HDFC Bank sees loan-to-deposit ratio at 85%-90% by FY27, CFO says",2025-04-19 06:41:49,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-sees-loan-to-deposit-ratio-at-85-90-by-FY27-CFO-says-49662508/,0.0,Neutral
"HDFC Bank Limited, Q4 2025 Earnings Call, Apr 19, 2025",2025-04-19 06:00:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Transcript-HDFC-Bank-Limited-Q4-2025-Earnings-Call-Apr-19-2025-49662554/,-0.2263,Negative
"HDFC Bank : Financial Results for the quarter and year ended March 31, 2025.",2025-04-19 03:54:16,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Financial-Results-for-the-quarter-and-year-ended-March-31-2025-49662351/,0.0,Neutral
"HDFC Bank : Press Release to announce Financial Results for the quarter and year ended March 31, 2025.",2025-04-19 03:54:15,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Press-Release-to-announce-Financial-Results-for-the-quarter-and-year-ended-March-31-202-49662350/,0.0,Neutral
"HDFC Bank : Key Parameters Financial Results for the Quarter ended March 31, 2025.",2025-04-19 03:54:15,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Key-Parameters-Financial-Results-for-the-Quarter-ended-March-31-2025-49662349/,0.0,Neutral
HDFC Bank : Q4FY25 Earnings Presentation.,2025-04-19 03:54:14,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Q4FY25-Earnings-Presentation-49662348/,0.0,Neutral
HDFC Bank Limited Recommends Dividend for the Fiscal Year 2024-25,2025-04-19 03:09:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Recommends-Dividend-for-the-Fiscal-Year-2024-25-49662362/,0.0,Neutral
Asian Equities Traded in the US as American Depositary Receipts Surge in Thursday Trading,2025-04-17 08:23:51,/quote/stock/NOAH-HOLDINGS-LIMITED-6840814/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Surge-in-Thursday-Trading-49649180/,0.0,Neutral
Indian Indices Jump on Thursday as Bank Stocks Rally,2025-04-17 04:16:37,/quote/index/NIFTY-500-9743679/news/Indian-Indices-Jump-on-Thursday-as-Bank-Stocks-Rally-49645956/,0.0,Neutral
INDIA STOCKS-Financials haul Indian stocks to best week in over 4 years,2025-04-17 04:16:18,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Financials-haul-Indian-stocks-to-best-week-in-over-4-years-49645963/,0.6369,Positive
HDFC Bank : Parivartan covers 298 border villages under rural development initiatives,2025-04-17 02:24:08,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Parivartan-covers-298-border-villages-under-rural-development-initiatives-49644863/,0.0,Neutral
Supreme Court Upholds Validity Of Exclusive Jurisdiction Clauses In Employment Contracts,2025-04-17 01:44:07,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Supreme-Court-Upholds-Validity-Of-Exclusive-Jurisdiction-Clauses-In-Employment-Contracts-49644566/,0.6249,Positive
"India stocks, rupee, swaps, call at 1:00 p.m. IST",2025-04-17 01:10:41,/quote/currency/INDIAN-RUPEE-US-DOLLAR-IN-2373570/news/India-stocks-rupee-swaps-call-at-1-00-p-m-IST-49644340/,0.0,Neutral
INDIA STOCKS-India stocks dip as IT drags after Wipro outlook; financials limit losses,2025-04-17 10:45:30,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-stocks-dip-as-IT-drags-after-Wipro-outlook-financials-limit-losses-49640878/,-0.5267,Negative
Asian Equities Traded in the US as American Depositary Receipts Drop Sharply in Wednesday Trading,2025-04-16 08:19:09,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Drop-Sharply-in-Wednesday-Trading-49636413/,-0.2732,Negative
Asian Equities Traded in the US as American Depositary Receipts Sharply Higher in Tuesday Trading,2025-04-15 08:25:08,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Sharply-Higher-in-Tuesday-Trading-49624872/,0.0,Neutral
"Global markets live: BoA, Apple, Sika, Google, UBS…",2025-04-15 07:56:45,/news/latest/Global-markets-live-BoA-Apple-Sika-Google-UBS--49624630/,0.0,Neutral
INDIA STOCKS-India's Sensex erases post-tariff losses as Trump signals exemptions,2025-04-15 03:35:52,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-Sensex-erases-post-tariff-losses-as-Trump-signals-exemptions-49621044/,-0.4019,Negative
India's Sensex erases post-tariff losses as Trump signals exemptions,2025-04-15 03:35:52,/quote/index/NIFTY-50-9743680/news/India-s-Sensex-erases-post-tariff-losses-as-Trump-signals-exemptions-49616531/,-0.4019,Negative
India's HDFC Bank hits four-month high as deposit rate cut seen lifting margins,2025-04-15 02:30:06,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-hits-four-month-high-as-deposit-rate-cut-seen-lifting-margins-49620368/,-0.2732,Negative
India's HDFC Bank hits four-month high as deposit rate cut seen lifting margins,2025-04-15 02:11:13,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-hits-four-month-high-as-deposit-rate-cut-seen-lifting-margins-9012897/,-0.2732,Negative
INDIA STOCKS-Indian benchmarks set to erase post-tariff losses as Trump eases up,2025-04-15 11:06:15,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-set-to-erase-post-tariff-losses-as-Trump-eases-up-49617358/,-0.1027,Negative
INDIA STOCKS-Indian shares open higher after US tariff exemptions spark global rebound,2025-04-15 09:27:10,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-shares-open-higher-after-US-tariff-exemptions-spark-global-rebound-49616720/,0.4767,Positive
Asian Equities Traded in the US as American Depositary Receipts Rise in Friday Trading,2025-04-11 08:21:16,/quote/stock/DR-REDDY-S-LABORATORIES-L-6492671/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rise-in-Friday-Trading-49600336/,0.0,Neutral
INDIA STOCKS-Indian benchmarks rebound on U.S. tariff reprieve,2025-04-11 10:32:54,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-rebound-on-U-S-tariff-reprieve-49592840/,0.0,Neutral
Asian Equities Traded in the US as ADRs Ease in Wednesday Trading,2025-04-09 08:03:08,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-ADRs-Ease-in-Wednesday-Trading-49575665/,0.3612,Positive
"HDFC Bank : Comment on RBI Credit Policy by Ms. Sakshi Gupta, Principal Economist - HDFC Bank",2025-04-09 05:16:05,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Comment-on-RBI-Credit-Policy-by-Ms-Sakshi-Gupta-Principal-Economist-HDFC-Bank-49573188/,0.3818,Positive
Asian Equities Traded in the US as American Depositary Receipts Rebound Strongly in Tuesday Trading,2025-04-08 08:08:26,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rebound-Strongly-in-Tuesday-Trading-49562177/,0.2732,Positive
Asian Equities Traded in the US as American Depositary Receipts Sharply Lower in Monday Trading,2025-04-07 08:20:18,/quote/stock/UXIN-LIMITED-44403618/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Sharply-Lower-in-Monday-Trading-49549524/,-0.296,Negative
INDIA STOCKS-US tariffs trigger worst selloff in Indian markets in 10 months,2025-04-07 07:45:22,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-US-tariffs-trigger-worst-selloff-in-Indian-markets-in-10-months-49549160/,-0.6249,Negative
HDFC Bank : was adjudged ‘India’s Best for HNW’ at Euromoney Private Banking Awards 2025,2025-04-07 05:36:12,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-was-adjudged-India-s-Best-for-HNW-at-Euromoney-Private-Banking-Awards-2025-49547273/,0.802,Positive
INDIA STOCKS-Indian benchmarks log worst session in 10 months as trade war tumult intensifies,2025-04-07 03:52:40,/quote/stock/RELIANCE-INDUSTRIES-LTD-9058833/news/INDIA-STOCKS-Indian-benchmarks-log-worst-session-in-10-months-as-trade-war-tumult-intensifies-49546073/,-0.8402,Negative
Indian Equities Plunge on Friday as Trump Signals Tariffs on Pharma Imports,2025-04-04 04:15:12,/quote/index/NIFTY-500-9743679/news/Indian-Equities-Plunge-on-Friday-as-Trump-Signals-Tariffs-on-Pharma-Imports-49532860/,0.0,Neutral
"INDIA STOCKS-Indian stocks end week lower as IT, commodity shares tank on recession fears",2025-04-04 03:58:03,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-stocks-end-week-lower-as-IT-commodity-shares-tank-on-recession-fears-49532758/,-0.6808,Negative
INDIA STOCKS-Indian shares join global selloff as US tariffs trigger recession fears,2025-04-04 11:00:01,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-shares-join-global-selloff-as-US-tariffs-trigger-recession-fears-49528860/,-0.296,Negative
India's HDFC Bank says growth in quarterly deposits outpaces loans,2025-04-03 10:01:19,/quote/stock/HDFC-BANK-LIMITED-105516154/news/India-s-HDFC-Bank-says-growth-in-quarterly-deposits-outpaces-loans-49525299/,0.3818,Positive
HDFC Bank Gross Advances Up 4% Q/Q At March-End,2025-04-03 08:53:30,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Gross-Advances-Up-4-Q-Q-At-March-End-49524586/,-0.4767,Negative
HDFC Bank Limited Receives Warning Letter from Securities and Exchange Board of India,2025-04-03 08:27:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Limited-Receives-Warning-Letter-from-Securities-and-Exchange-Board-of-India-49557272/,-0.2732,Negative
Asian Equities Traded in the US as American Depositary Receipts Fall in Thursday Trading,2025-04-03 08:23:24,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Fall-in-Thursday-Trading-49524336/,0.0,Neutral
Senores Pharmaceuticals Issues INR405.3 Million Corporate Guarantee for Subsidiary,2025-04-03 02:15:49,/quote/stock/SENORES-PHARMACEUTICALS-L-180392054/news/Senores-Pharmaceuticals-Issues-INR405-3-Million-Corporate-Guarantee-for-Subsidiary-49519713/,0.25,Positive
"HDFC Bank : Honourable Chief Minister of Uttar Pradesh Shri Yogi Adityanath Inaugurates HDFC Bank’s Branch at Kashi Vishwanath Temple, Varanasi",2025-04-03 03:30:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Honourable-Chief-Minister-of-Uttar-Pradesh-Shri-Yogi-Adityanath-Inaugurates-HDFC-Bank--49550380/,0.4767,Positive
Asian Equities Traded in the US as American Depositary Receipts Trending Lower in Wednesday Trading,2025-04-02 08:22:33,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Trending-Lower-in-Wednesday-Trading-49511105/,-0.296,Negative
HDFC Bank Says SEBI Issues Administrative Warning Letter,2025-04-02 08:11:09,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Says-SEBI-Issues-Administrative-Warning-Letter-49511051/,-0.34,Negative
INDIA STOCKS-India's equity benchmarks edge higher; investors brace for US tariffs,2025-04-02 03:51:29,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-equity-benchmarks-edge-higher-investors-brace-for-US-tariffs-49507348/,0.0,Neutral
INDIA STOCKS-Indian benchmarks inch higher; caution prevails ahead of US tariffs,2025-04-02 10:27:22,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-inch-higher-caution-prevails-ahead-of-US-tariffs-49503456/,0.0,Neutral
Asian Equities Traded in the US as American Depositary Receipts Lower in Tuesday Trading,2025-04-01 08:19:07,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Lower-in-Tuesday-Trading-49499271/,-0.296,Negative
Asian Equities Traded in the US as American Depositary Receipts Drop in Monday Trading,2025-03-31 08:23:30,/quote/stock/NOAH-HOLDINGS-LIMITED-6840814/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Drop-in-Monday-Trading-49485759/,-0.2732,Negative
Asian Equities Traded in the US as American Depositary Receipts Drop Sharply in Friday Trading; Down 3.4% for Week,2025-03-28 07:39:15,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Drop-Sharply-in-Friday-Trading-Down-49467154/,-0.2732,Negative
Tata Neu HDFC Bank Credit Card Celebrates Milestone: Over 2 Million Cards Issued,2025-03-28 05:03:07,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Tata-Neu-HDFC-Bank-Credit-Card-Celebrates-Milestone-Over-2-Million-Cards-Issued-49464984/,0.743,Positive
Reserve Bank of India Imposes Penalty of INR 7.5 Million on HDFC Bank Limited,2025-03-28 03:47:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Reserve-Bank-of-India-Imposes-Penalty-of-INR-7-5-Million-on-HDFC-Bank-Limited-49467294/,-0.6486,Negative
"India's financial stocks fuel Nifty 50's March comeback, set for strong FY2026",2025-03-28 01:48:07,/quote/index/SENSEX-BSE30-7426/news/India-s-financial-stocks-fuel-Nifty-50-s-March-comeback-set-for-strong-FY2026-49462358/,0.7184,Positive
Asian Equities Traded in the US as American Depositary Receipts Higher in Thursday Trading,2025-03-27 08:21:09,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Higher-in-Thursday-Trading-49454158/,0.0,Neutral
"Indian banks' loan growth slows for eighth straight month in February, RBI data shows",2025-03-27 05:02:08,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Indian-banks-loan-growth-slows-for-eighth-straight-month-in-February-RBI-data-shows-49451202/,0.5423,Positive
"INDIA STOCKS-Profit-booking slams breaks on Indian stocks' rally, with tariffs looming",2025-03-26 03:47:56,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Profit-booking-slams-breaks-on-Indian-stocks-rally-with-tariffs-looming-49436548/,-0.128,Negative
INDIA STOCKS-India's benchmarks seen higher tracking Asian peers,2025-03-26 08:14:06,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-benchmarks-seen-higher-tracking-Asian-peers-49432288/,0.0,Neutral
Asian Equities Traded in the US as American Depositary Receipts Decline in Tuesday Trading,2025-03-25 08:07:07,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Decline-in-Tuesday-Trading-49427902/,0.0,Neutral
INDIA STOCKS-Indian benchmarks end little changed after six-session rally,2025-03-25 03:45:59,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Indian-benchmarks-end-little-changed-after-six-session-rally-49424099/,0.0,Neutral
"INDIA STOCKS-Financials, IT lead Indian benchmarks higher on easing tariff fears, foreign buying",2025-03-25 10:42:36,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-Financials-IT-lead-Indian-benchmarks-higher-on-easing-tariff-fears-foreign-buying-49420315/,-0.2023,Negative
India's benchmarks set to rise as tariff threat eases,2025-03-25 08:21:00,/quote/index/NIFTY-50-9743680/news/India-s-benchmarks-set-to-rise-as-tariff-threat-eases-49419896/,-0.2732,Negative
Asian Equities Traded in the US as American Depositary Receipts Open Week Higher in Monday Trading,2025-03-24 08:24:15,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Open-Week-Higher-in-Monday-Trading-49415911/,0.0,Neutral
Jupiter Life Line Hospitals Enters Loan Agreement With HDFC Bank,2025-03-24 08:04:50,/quote/stock/JUPITER-LIFE-LINE-HOSPITA-159212542/news/Jupiter-Life-Line-Hospitals-Enters-Loan-Agreement-With-HDFC-Bank-49415768/,0.4939,Positive
Universal Autofoundry Limited Announces the Accounts in Operations Is Being Shifted from One Bank to Another,2025-03-24 04:25:00,/quote/stock/UNIVERSAL-AUTOFOUNDRY-LIM-64309539/news/Universal-Autofoundry-Limited-Announces-the-Accounts-in-Operations-Is-Being-Shifted-from-One-Bank-to-49421391/,-0.2263,Negative
"INDIA STOCKS-India's Nifty 50 erases 2025 losses on FPI return, bargain buying",2025-03-24 04:21:24,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-Nifty-50-erases-2025-losses-on-FPI-return-bargain-buying-49413256/,0.2023,Positive
Asian Equities Traded in the US as American Depositary Receipts Decline in Thursday Trading,2025-03-20 08:14:48,/quote/stock/JOYY-INC-11962799/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Decline-in-Thursday-Trading-49389570/,0.0,Neutral
Popular Vehicles and Services Extends Corporate Guarantee,2025-03-20 04:43:06,/quote/stock/POPULAR-VEHICLES-AND-SERV-167442732/news/Popular-Vehicles-and-Services-Extends-Corporate-Guarantee-49386836/,0.6486,Positive
HDFC Bank : Government of India’s Senior Citizens’ Savings Scheme is Now Offered at HDFC Bank,2025-03-19 11:15:05,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Government-of-India-s-Senior-Citizens-Savings-Scheme-is-Now-Offered-at-HDFC-Bank-49369338/,0.0,Neutral
Asian Equities Traded in the US as American Depositary Receipts Track Sharply Lower in Tuesday Trading,2025-03-18 08:14:00,/quote/stock/JOYY-INC-11962799/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Track-Sharply-Lower-in-Tuesday-Tradi-49364335/,-0.296,Negative
"INDIA STOCKS-India's benchmarks record best day in six weeks on bargain buying, global cues",2025-03-18 04:07:30,/quote/index/SENSEX-BSE30-7426/news/INDIA-STOCKS-India-s-benchmarks-record-best-day-in-six-weeks-on-bargain-buying-global-cues-49361233/,0.7184,Positive
