Text,Date,label
"As against today's hardware-defined cars, the new lot of EVs are almost entirely software-infused transportation platforms. There are only around 20 moving parts in an electric engine, compared with 2,000-plus in what is called an ICE (internal combustion engine, or the regular petrol/diesel) car.",06-01-2022,Neutral
Hinduja Global Solutions has also completed the sale of its healthcare services business to wholly-owned subsidiaries of Betaine BV,06-01-2022,Neutral
Unofficial bookings for the new Tata Tiago CNG car have also commenced already.,06-01-2022,Neutral
"After dropping over $4K in just a day, the bitcoin price now faces a critical support level. Technical Analysis After failing to close a daily candle",06-01-2022,Neutral
"The move comes as the financial industry, which has long-been keen to get back to business-as-usual, grapples with how to safely bring workers back to the office amid the spread of the highly infectious Omicron COVID variant.",07-01-2022,Neutral
"The retreat comes after minutes from the Federal Reserve’s December meeting, published Wednesday, flagged the chance of earlier- and faster-than-expected rate hikes as well as potential balance-sheet rundown.",07-01-2022,Negative
"When Ola Electric first revealed its plans to cut out the middleman and deliver its e-scooters directly to customers, industry watchers took notice.  After all, it was the first time an electric vehicle maker in India had decided to borrow a page from Tesla’s playbook to get rid of the dealership culture.",07-01-2022,Neutral
"The IPO comprises a fresh issue of equity shares of ₹500 crore and an offer for sale of up to 11,400,000 equity shares by the promoter Dattani Family.",07-01-2022,Neutral
"Competition Commission of India on Friday ordered an investigation into Alphabet Inc's Google following allegations from news publishers, saying its initial view was that the tech giant had broken some antitrust laws. In its order, the Competition Commission of India (CCI) said Google dominates certain online search services in the country and may have imposed unfair",07-01-2022,Neutral
"The new brownfield expansion will be spread across 600 acres and includes establishing 4.5 MTPA Blast Furnace, two Steel Melt Shops 350 tons each and 5 MTPA Hot Strip Mill along with other allied and auxiliary facilities",07-01-2022,Neutral
CCI has directed the Director General to do an investigation into the matter and submit report in 60 days,07-01-2022,Neutral
"A popular analyst argues that the BTC bottom might be anywhere between current rates and $37.5K, while maintaining that $100K targets are still on the table.",07-01-2022,Neutral
Citigroup Office workers who don’t comply by Jan. 14 will be placed on unpaid leave and a message to staff seen by Bloomberg said their last day of employment will come at the end of the month.,07-01-2022,Neutral
"The Toyota Fortuner is now expensive by up to Rs 1.10 lakh. The Innova Crysta becomes dearer by up to Rs 33,000.",07-01-2022,Neutral
Tata Motors has brought back its mid-size SUV project and it is currently on full swing. The new mid-size SUV will be a coupe version of the Nexon. The homegrown manufacturer will first introduce the new mid-size SUV as an electric vehicle and then they will be launching the internal combustion powered versions. The Nexon Coupe is expected to debut sometime in 2023.,08-01-2022,Neutral
"Hyundai Ai3 (Casper) is likely to compete with the likes of Punch which sits under the subcompact SUV from its own brand, the Tata Nexon.",08-01-2022,Neutral
Railways is planning to levy a station development fee ranging from ₹10 to ₹50 depending on the class of travel,08-01-2022,Neutral
Car manufacturer Maruti Suzuki has announced discounts on its passenger vehicles for the period of January 2022.,08-01-2022,Neutral
A number of Pakistanis have become victims of a massive fraud using cryptocurrency and wallets at crypto exchange Binance.,08-01-2022,Negative
"The best cryptocurrency to buy today is one with the potential to grow big in 2022. That’s the only way return on the investment will be guaranteed. There are a number of cryptocurrencies to watch right now, and these could be the fastest-growing crypto of 2022.",08-01-2022,Positive
OYO Founder and CEO Ritesh Agarwal thanks over a million people who booked more than half a million nights with OYO Hotels this New Year,08-01-2022,Neutral
"Ace investor Rakesh Jhunjhunwala has exited smallcap real estate stock Tarc Ltd, according to the shareholding information till December 31 updated by the company.",08-01-2022,Neutral
"Consumer goods companies, those in carbon businesses, and even state governments have been trying to board the ESG bandwagon, with the ratings affecting the very nature of the way business is done",08-01-2022,Neutral
Reliance Jio has introduced an yearly plan that will offer 2.5GB daily data to its customers for a period of 365 days.,08-01-2022,Neutral
"Here are few prepaid plans by Airtel, Jio, Vi and BSNL that cost less than Rs 200 and are perfectly suited for unlimited connectivity.",09-01-2022,Neutral
IndiGo airlines also on Sunday anticipated that around 20 per cent of its current scheduled operations to be withdrawn from service. | Latest News India,09-01-2022,Neutral
Tata motors is offering great discounts on its entire range of passenger cars for the period of January 2022.,09-01-2022,Neutral
Many of the top Bitcoin-holding public companies are suffering significant drops in their stock prices to an amount that can interest several investors. F,09-01-2022,Negative
"As 2022 begins, a lot is expected from the crypto market. This is the year most cryptocurrencies are expected to break their current ATH and set new records. Here are some of the best cryptocurrencies of 2022 and where they might be one year from now.",09-01-2022,Neutral
Jeep currently offers two products in its India portfolio - Compass and Wrangler.,09-01-2022,Neutral
"New Delhi: Airline company IndiGo on Sunday said it will cancel around 20 percent of its scheduled flights due to rising Covid cases. ""We anticipate that",09-01-2022,Negative
"By Tom Maloney, Yueqi Yang and Ben Bartenstein, The Abu Dhabi Grand Prix draws princes, movie stars and world-famous athletes every year to party on Yas Island, the entertainment hub about 30 minutes from the centre of downtown. Mingling among them last month was a figure charting an unlikely ascent: a former McDonald’s burger-flipper and software developer who, practically",10-01-2022,Neutral
Citroen didn’t reveal many details about the India-spec model.,10-01-2022,Neutral
"As word got around of LIC's stake hike, Deepak Nitrite shares traded 2.51 percent higher at 2,596.90 on the NSE on January 10.",10-01-2022,Positive
"It’s the first time Bloomberg has estimated Binance CEO Changpeng Zhao fortune, which exceeds Asia’s richest person, Mukesh Ambani, and rivals tech titans including Mark Zuckerberg and Google founders Larry Page and Sergey Brin.",10-01-2022,Neutral
"Bitcoin was last down 4.7%, more than 40% below a record high of $69,000 hit in November",10-01-2022,Negative
"Take-Two Interactive said on Monday it would buy Zynga for $11.04 billion in a deal that will bring the smash-hit video game ""Grand Theft Auto"" and mobile-friendly ""FarmVille"" under one roof as demand for affordable on-the-go gaming surges.",10-01-2022,Positive
"Equity mutual funds received a record inflow of ₹24,989.57 crore in December, more than double the ₹10,686.77 crore in the previous month, despite the growing threat of a third coronavirus wave derailing India’s economic recovery",10-01-2022,Positive
"Firms leased 2.2 mn sq. ft of office space in 2021 in NCR, Mumbai, Bengaluru.Overall offices across the top six cities leased 33 million sq. feet of space, 10% higher than in 2020",10-01-2022,Positive
"Avenue stock trades at about 115x and 88x estimated earnings for FY23 and FY24, respectively.Standalone revenue in the December quarter grew 22% from a year earlier",10-01-2022,Positive
"On bullion outlook, experts believe that gold is expected to stay range-bound in the first few months of the year",10-01-2022,Negative
Delta Corp Q3 results: The company's revenue has also more than double to ₹247 crore for the reporting period.,11-01-2022,Positive
"The shares came under pressure following news that HDFC Mutual fund, one of the four mutual funds that were anchor investors in its IPO, significantly reduced its holding of Paytm across two schemes in the month ended December 2021.",11-01-2022,Negative
"The planned deadline would set Prime Minister Narendra Modi’s government on track to list LIC by the end of March, providing a much-needed boost to revenue",11-01-2022,Positive
"The numbers are impressive and speak volumes of the inherent value of this project. ONE Midtown will be an inimitable addition to the New Delhi skyline, said Aakash Ohri, group executive director and chief business officer, DLF Home Developers",11-01-2022,Positive
Here is all you need to know about the sovereign gold bond 2021-2022.,11-01-2022,Neutral
"While the famous Cryptocurrency giants' prices continue their downfall, Bitcoin and Ethereum received a big blow since November 2021 and have continued their slump till now.  EverGrow Coin was trading at $ 0.0000017 USD today with a 24-hour trading volume of $ 2.5M.",11-01-2022,Negative
Jeep is now the only American carmaker in the Indian car market.,11-01-2022,Neutral
"In the Amazon-Future case, the Future Group on Tuesday submitted before the Supreme Court that being in a financially precarious situation, Future Retail Ltd will ""sink with 30,000 employees losing...",11-01-2022,Neutral
"Investors waded back into the beaten-up stock after the clarification on Wednesday.The shares surged as much as 12.7% before ending trading at ₹12.80 on BSE, an increase of 8.47%. The stock plunged 20.5% on Tuesday",12-01-2022,Positive
The top-selling luxury carmaker in India already offers imported models of its EQC electric sport utility vehicle..Mercedes-Benz EQS 580 4MATIC electric vehicle. Mercedes-Benz. flagship electric sedan in India. made in India,12-01-2022,Neutral
There is no recovery in sight for Indian airlines with a fresh wave of covid-19 infections hitting passenger traffic yet again. Carriers have already reported steep losses over the past many quarters. Mint analyses the challenges:,12-01-2022,Negative
"The US Dollar has taken a swan dive after a 7% CPI print, and the currency is now oversold on the four-hour chart.",12-01-2022,Neutral
"However, Tata Motors said JLR sales have improved from the second quarter.",12-01-2022,Positive
"TCS Q3 results: Meanwhile, the IT giant's revenue from operations rose 16% to ₹48,885 crore in the third quarter.",12-01-2022,Positive
SEBI has barred six persons from accessing the securities market for indulging in fraudulent and unfair trade practices and ordered impounding wrongful gains of Rs 2.84 crore in the case of stock recommendations made using messaging app Telegram.,12-01-2022,Neutral
"Debt-ridden Vodafone Idea (VIL), Tata Teleservices and Tata Teleservices Maharashtra have proposed to convert interest liabilities payable to the government into equity",12-01-2022,Neutral
"With no clarity on the economic outlook, RBI was understandably keen to avert a situation where lending by banks would freeze amid so much uncertainty",12-01-2022,Neutral
Read below to learn more about the top-three bestselling hatchbacks in India last year,12-01-2022,Positive
"According to the shareholding information updated to the exchanges, Rakesh Jhunjhunwala increased his stake to 4.02%, holding about 3,57,10,395 shares in Titan Company Ltd.",13-01-2022,Neutral
"Bharat Sanchar Nigam Limited (BSNL) has introduced some new prepaid recharge plans. The new prepaid recharge plans are Rs 184, Rs 185, Rs 186, and the Rs 347.",13-01-2022,Neutral
"After the cancellation, the NBFFs and housing finance company will not transact the business of a NBFC.",13-01-2022,Neutral
"The year 2021 was a record one for venture capitalist (VC) technology sector investments in India, which jumped from ranking fourth globally in 2020 to third, according to new research released in London on Thursday.",13-01-2022,Positive
"The brokerage firm Motilal Oswal has recently initiated a buy call for the stock of Tata Motors, for 20% returns in 1 year. Tata Motors production has increased 41% QoQ to 72.2k units in 3QFY22, reflecting an improvement in chip supply.",13-01-2022,Positive
Wipro’s weaker- than-expected show in Q3 could change the outperforming trend of the stock.The company will have to meet its fourth-quarter guidance to avoid the possibility,13-01-2022,Negative
Infosys has managed to cut the revenue difference with Cognizant by half in the last two years.The likely change in the pecking order is the result of the transformation taken at Infosys,13-01-2022,Neutral
The Securities and Exchange Board of India (Sebi) on Wednesday passed an order against six individuals who were using social media to manipulate stock prices. Mint examines the challenges facing the regulator in checking such manipulation.,13-01-2022,Neutral
"Mumbai: The ongoing third pandemic wave led by Omicron could pose fresh turbulence for air traffic, pushing its full recovery into fiscal 2024, ratings",13-01-2022,Negative
CCI order suspended the approval to the deal between Amazon and Future Coupons,13-01-2022,Negative
RBI proposal says investment portfolio of banks will have three categories,14-01-2022,Neutral
Hero MotoCorp board has approved the investment in Ather Energy in one or more tranches,14-01-2022,Neutral
The Cyborg Bob-e electric bike is capable of running up to 110 km at a speed of 85 kmph.,14-01-2022,Neutral
Volkswagen's new mid-size sedan to be unveiled in March 2022,14-01-2022,Neutral
"Notably, Motherson Sumi's stock price has increased at a CAGR of nearly 13% since January 2017, well exceeding the Nifty Auto index.",14-01-2022,Positive
Global ecommerce roll-up company Thrasio has said that it will utilise the capital to acquire and scale Indian brands.,14-01-2022,Neutral
"If RIL can bring in money, Amazon can bring in more for Future Group if needed. The structure proposed by RIL can be easily created with another player to help Future with enough capital.",14-01-2022,Positive
"The petition provides evidence to show Cloudtail charges less fees/ commission and is a preferential seller on the platform, and with its 100% acquisition, Amazon will cause an adverse effect on the market",14-01-2022,Negative
"Megha Engineering and Infrastructures Ltd (MEIL) walked away with the most 15 licences to retail CNG to automobiles and piped cooking gas to households in the latest city gas bidding round, while a joint venture of billionaire Gautam Adani's gas arm and Total of France got 14 licences. According to the results of the bid opening for the 11th round of city gas distribution",14-01-2022,Neutral
"With stiff competition from the likes of Hyundai, Kia and Tata Motors, Maruti Suzuki is looking to up its game. The passenger car maker is getting ready with an extensive product launch plan over the next two years",14-01-2022,Positive
"Under the scheme, the manufacturing facility would have to be set up within a period of two years. The incentive will be disbursed thereafter over a period of five years on sale of batteries manufactured in India",15-01-2022,Neutral
"French manufacturer, Citroen has released a facelift of the C5 Aircross in the global market. The facelift comes with some major cosmetic changes, feature additions and mechanically it stays the same. We are expecting that the 2022 C5 Aircross will launch in India by the end of this year.",15-01-2022,Neutral
Coin Bureau crypto channel host Guy is revealing why he remains bullish on five major crypto assets despite recent sell-offs.,15-01-2022,Positive
"When the pandemic gripped the world in early 2020, countries announced lockdowns to contain its impact, temporarily leading to a decline in consumer demand. That made shipping lines assume they would need fewer vessels in operation and readjust their capacity, routes and operations. Fast forward to August 2020, and freight rates started climbing as demand for shipping services",15-01-2022,Negative
"Hyundai ad features cricketers Smriti Mandhana, Jemimah Rodrigues, Taniya Bhatia & Shafali Verma. SRK was last seen on-screen in a Cadbury’s Diwali-themed ad late October.",15-01-2022,Neutral
"The official booking of the upcoming Kia Carens SUV has begun in India through online mode or offline mode at just Rs 25,000.",15-01-2022,Neutral
"Despite Elon Musk’s efforts to pump the cryptocurrency price of his favourite memecoin, Dogecoin is down 72% from its all-time highs. Many see Shiba Inu as the next Dogecoin. Shiba Inu was launched specifically to exploit Dogecoin’s popularity and the Elon Musk connection .",15-01-2022,Negative
Read below to learn more about the top-three bestselling compact SUVs in India in 2021,15-01-2022,Positive
"“GSK rejected all three proposals made on the basis that they fundamentally undervalued the Consumer Healthcare business and its future prospects,” the statement said",15-01-2022,Neutral
"Out of the six Covid medicines that the Centre asked Karnataka to stock in varying quantities, the state is falling short of two: Dexamethasone and Posaconazole injections. Against the Government of India’s mandate of 11 lakh, the state has about 50,000 Dexamethasone steroid injections, while it has just 1,200 Posaconazole jabs against the recommended stockpiling of 10,000.",15-01-2022,Neutral
"Given HCL’s margin outlook, the gap in valuations of its shares vis-à-vis peers could sustain",16-01-2022,Neutral
State governments bonds offering higher returns edge out corporates,16-01-2022,Positive
Walmart is reportedly preparing to launch its own cryptocurrency,16-01-2022,Neutral
"During the last seven days, there’s been $2.53 billion non-fungible token (NFT) sales, up 161% over the past week.",16-01-2022,Positive
"Commerce and Industry Minister Piyush Goyal says India is on track to achieve its merchandise exports target of $400 billion this year, while services exports were likely to be about $240 billion to $250 billion",16-01-2022,Neutral
"The trick is investing in the most explosive cryptocurrencies of 2022. The good news is there are many such crypto coins, with the only difference being the level of explosiveness each cryptocurrency has.",16-01-2022,Neutral
BMW has recently come forward to state that the Munich based automaker has defeated its arch-nemesis Mercedes-Benz for the first time in six years.,16-01-2022,Neutral
If you are planning to get an adventure tourer bike in recent months you must consider Yezdi Adventure and Royal Enfield Himalayan.,16-01-2022,Neutral
The state-run energy company announced that it has secured nearly 33% of the demand potential in the recently concluded 11th round of CGD bidding by Petroleum & Natural Gas Regulatory Board,16-01-2022,Neutral
ADA had an explosive Sunday with prices rallying 10% after a very quiet week when of barely any volatility.,16-01-2022,Positive
"Except in the north, demand in other markets remained muted for varied reasons in Q3.The benefits of the recent drop in costs may start reflecting meaningfully in costs from Q1FY23.",17-01-2022,Negative
"According to a recent report, Walmart is seemingly prepping to enter the industry of NFT technology and metaverse concepts.",17-01-2022,Neutral
Can one expect a sharp bounceback after the continued market drop?,17-01-2022,Negative
"The Income Tax Department on Monday said that they conducted search and seizure operations at the premises of a diversified business group across Haryana and Punjab's Mohali and detected unaccounted cash around Rs 550 crore. The I-T team has also recovered incriminating documents during the raid on the group which deals with manufacturing of plywood, MDF boards, inverters, and",17-01-2022,Neutral
Classic Legends brought back Yezdi with three new motorcycles. The deliveries of new motorcycles have already started. Classic Legends is backed-up by Anand Mahindra and he shared pictures of the first owners of the motorcycle.,17-01-2022,Neutral
"Tech Mahindra said the acquisitions will strengthen its digital engineering and insurance technology businesses: Tech Mahindra, mergers and acquisitions, information technology",17-01-2022,Positive
"Ultratech Cement was the biggest gainer among the Sensex shares, with a gain of 2.78%, followed by Maruti Suzuki, Mahindra & Mahindra, Tata Steel, TCS, L&T and SBI",17-01-2022,Positive
"Tamil Nadu becomes the fifth state to invite Elon Musk to set up shop. Earlier, Maharashtra, Punjab, Telangana and West Bengal had pitched for investment opportunities with Tesla.",17-01-2022,Neutral
"Oyo’s offering will be among the biggest IPOs since Paytm’s. In its preliminary filing, the company said it planned to raise ₹8,430 crore",17-01-2022,Neutral
"SBI,  HDFC  Bank  have  hiked  deposit  rates  by  up  to 10 bps  in recent  weeks.Experts said corporate credit growth is probably coming back to banks as corporate bond issuances have declined",17-01-2022,Negative
"We are building a strong and sustainable media franchise which not only delivers quality content to Indian audience but also value to the shareholders, said chairman Adil Zainulbhai",18-01-2022,Positive
This latest salvo from Axis Finance comes after Zee and Sony are looking at regulatory bodies to stamp their approval on the proposed merger,18-01-2022,Neutral
"The Ministry of Civil Aviation has appointed lAS officer Vikram Dev Dutt as Air India’s new Chairman & Managing Director (CMD) of the airline, the government announced on Tuesday. He will get the rank and pay of an Additional Secretary.",18-01-2022,Neutral
Tata Elxsi on Tuesday said its net profit increased 43.5 per cent to Rs 151 crore in December quarter 2021-22.,18-01-2022,Positive
"In the nine months ending December, sales and collections stood at ₹7,113 cr and ₹5,005 cr, respectively",18-01-2022,Neutral
Air India informed on Tuesday that its operations from India to the US will be curtailed or revised from January 19 onwards on account of the deployment of 5G communications in the US.,18-01-2022,Neutral
"Sandipan Sarkar and Aditi Das's wedding will take place online amidst the ongoing third wave of the Covid-19 pandemic. However, there is a catch.",18-01-2022,Neutral
The appointment comes before the likely take-over of the airline's management by the Tata Group under the Centre's divestment programme..Aviation. Civil Aviation Ministry. Air India,18-01-2022,Neutral
"The RBI has said that overall economic activity remains strong, with upbeat consumer and business confidence, and upticks in incoming high frequency indicators. It said the Omicron-led third wave of covid-19 is a flash flood. Mint takes a look.",18-01-2022,Positive
"MS Dhoni is a once-in-a-generation player and his staggering record at both international circuit and the Indian Premier League is a reflection of his dominance in the 22-yard pitch. The wicketkeeper-batter, who hung his boots from international cricket, still remains a fans' favorite and is now only seen during the cash-rich T20 league donning the yellow Chennai Super Kings jersey.",18-01-2022,Positive
"Nextbillion Technology Pvt Ltd’s which operates Groww has turned profitable thanks to its exponential rise in its revenue,",19-01-2022,Positive
"As an introductory offer, Google is currently offering discounted rates on the subscriptions till 23 January. You can get a yearly subscription for YouTube Premium for ₹1,159 and ₹889 for YouTube Music Premium",19-01-2022,Neutral
The folks at Maserati tell us that the Levante Hybrid will arrive in India during Q2 2022.,19-01-2022,Neutral
"The state governments of Telangana, West Bengal, Maharashtra, Punjab and Tamil Nadu have already invited Tesla to set up its plant in their respective states.",19-01-2022,Neutral
"Jimmy Tata lives a quiet reticent life in a humble flat in Colaba, Harsh Goenka says",19-01-2022,Neutral
"The two-and three-wheeler maker's revenue from operations came in flat at ₹9,021 crore for the period under review as against ₹8,909 crore in the same quarter last year.",19-01-2022,Neutral
"In a first of its kind attempt, Mahindra has custom-made its immensely popular XUV700 to cater to Lekhara's accessibility needs.",19-01-2022,Neutral
"The investment in Pi Ventures comes from Binny Bansal, and Mamaearth's Varun Alagh, among others. Pi Venture's second fund's base target is Rs 565 crore.",19-01-2022,Neutral
"Billionaire investor Rakesh Jhunjhunwala has bought 35,00,000 equity shares in Indiabulls Housing Finance company during Thursday’s session through open market transaction from RARE Enterprises at Rs 219 per share on the NSE, the bulk deals data showed. Get more Markets News and Business News on Zee Business.",20-01-2022,Neutral
"The US Federal Aviation Administration (FAA) recently warned that 5G networks may interfere with in-flight instruments like altimeters. Here's why Air India, Emirates, Lufthansa and other qirlines are worried about flights to US.",20-01-2022,Negative
"Moments ago, social media giant Twitter, announced that it was rolling out NFT profile pictures for IOS users. The announcement is in line with an earlier",20-01-2022,Neutral
Elon Musk's Neuralink just took another step closer to installing its computer chips in human brains! Get ready for clinical trials.,20-01-2022,Neutral
Twitter just made the day for NFT owners as it announced to roll out NFT profile pictures for IOS users. Last year in September Twitter enabled Bitcoin tip,20-01-2022,Neutral
"Adani Wilmar has cut the size of its initial share-sale to ₹3,600 crore from the ₹4,500 crore planned earlier.",20-01-2022,Neutral
